month,segment_id,action_type,title,rationale,score,업종_중분류,사업장_시도,법인_고객등급,전담고객여부
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|nan|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,221.88721847596315,금속가공제품 제조업; 기계 및 가구 제외,,최우수,Y
2024-12-01,"의료, 정밀, 광학기기 및 시계 제조업|경상북도|일반|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,221.12281041561545,"의료, 정밀, 광학기기 및 시계 제조업",경상북도,일반,Y
2024-12-01,전기장비 제조업|경기도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,210.57720291704882,전기장비 제조업,경기도,우수,Y
2024-12-01,고무 및 플라스틱제품 제조업|경상북도|일반|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,205.73347377267714,고무 및 플라스틱제품 제조업,경상북도,일반,N
2024-12-01,소매업; 자동차 제외|경기도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,205.6550916677589,소매업; 자동차 제외,경기도,일반,Y
2024-12-01,기타 기계 및 장비 제조업|경기도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,190.08,기타 기계 및 장비 제조업,경기도,우수,Y
2024-12-01,"건축기술, 엔지니어링 및 기타 과학기술 서비스업|대구광역시|우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,178.21881976640384,"건축기술, 엔지니어링 및 기타 과학기술 서비스업",대구광역시,우수,Y
2024-12-01,목재 및 나무제품 제조업; 가구 제외|경상북도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,176.1041640203435,목재 및 나무제품 제조업; 가구 제외,경상북도,우수,Y
2024-12-01,숙박업|대구광역시|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,168.67456517015157,숙박업,대구광역시,일반,Y
2024-12-01,고무 및 플라스틱제품 제조업|대구광역시|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,167.22287885582813,고무 및 플라스틱제품 제조업,대구광역시,우수,Y
2024-12-01,섬유제품 제조업; 의복제외|경상북도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,163.7417507119326,섬유제품 제조업; 의복제외,경상북도,일반,Y
2024-12-01,금속가공제품 제조업; 기계 및 가구 제외|경기도|일반|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,162.39069767441862,금속가공제품 제조업; 기계 및 가구 제외,경기도,일반,Y
2024-12-01,고무 및 플라스틱제품 제조업|nan|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,161.04000000000002,고무 및 플라스틱제품 제조업,,우수,Y
2024-12-01,비금속 광물제품 제조업|경상남도|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,155.21428571428572,비금속 광물제품 제조업,경상남도,최우수,Y
2024-12-01,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업|경상북도|최우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,142.32431389889322,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경상북도,최우수,Y
2024-12-01,개인 및 소비용품 수리업|경상북도|우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,139.53600000000003,개인 및 소비용품 수리업,경상북도,우수,Y
2024-12-01,기타 기계 및 장비 제조업|경상남도|우수|N,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,137.39523809523808,기타 기계 및 장비 제조업,경상남도,우수,N
2024-12-01,"전기, 가스, 증기 및 공기조절 공급업|서울특별시|일반|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,135.7580657201586,"전기, 가스, 증기 및 공기조절 공급업",서울특별시,일반,Y
2024-12-01,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업|경상북도|일반|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,134.2220128542234,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",경상북도,일반,Y
2024-12-01,소매업; 자동차 제외|부산광역시|최우수|Y,LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,134.0812615448846,소매업; 자동차 제외,부산광역시,최우수,Y
2024-12-01,"의료, 정밀, 광학기기 및 시계 제조업|서울특별시|최우수|Y",LIQUIDITY_STRESS,운영자금/한도 리프레시 제안,한도소진율↑ + 순유입 악화 → 자금압박 가능성,132.3,"의료, 정밀, 광학기기 및 시계 제조업",서울특별시,최우수,Y
